t	th	dt	dth
0	0.399680399	0.5	0.034906585
2.734	0.390953752	0.5	0.034906585
5.434	0.382227106	0.5	0.034906585
8.134	0.37350046	0.5	0.034906585
10.834	0.357792497	0.5	0.034906585
13.535	0.357792497	0.5	0.034906585
16.202	0.34906585	0.5	0.034906585
18.902	0.343829863	0.5	0.034906585
21.602	0.338593875	0.5	0.034906585
24.302	0.331612558	0.5	0.034906585
27.003	0.324631241	0.5	0.034906585
29.703	0.315904595	0.5	0.034906585
32.37	0.310668607	0.5	0.034906585
35.07	0.307177948	0.5	0.034906585
37.77	0.300196631	0.5	0.034906585
40.437	0.294960644	0.5	0.034906585
43.138	0.289724656	0.5	0.034906585
45.838	0.284488668	0.5	0.034906585
48.505	0.27925268	0.5	0.034906585
51.205	0.274016693	0.5	0.034906585
