t	θ	dt	dθ
0.0000	0.352861243	0.033333333	0.053679346
37.0368	0.279832304	0.033333333	0.044545166
72.6738	0.227138196	0.033333333	0.041142646
108.2772	0.184377804	0.033333333	0.034923864
145.0475	0.14866095	0.033333333	0.030691877
180.5843	0.122936367	0.033333333	0.027266668
217.2879	0.099408369	0.033333333	0.023843292
252.7914	0.079626458	0.033333333	0.022441444
289.4949	0.065271998	0.033333333	0.018853745
324.9984	0.050661498	0.033333333	0.015289433
361.6353	0.043542474	0.033333333	0.016554099
397.1388	0.035654284	0.033333333	0.017281552
433.7757	0.027110723	0.033333333	0.013852504
469.2125	0.021883724	0.033333333	0.014264663
505.8827	0.016891122	0.033333333	0.01371951
