t	th	dt	dth
0.0000	0.398109777	0.033333333	0.034906585
2.2169	0.392902238	0.033333333	0.034906585
4.4171	0.385045464	0.033333333	0.034906585
6.6506	0.378885848	0.033333333	0.034906585
8.8842	0.36898826	0.033333333	0.034906585
11.0844	0.366129585	0.033333333	0.034906585
13.3180	0.359631026	0.033333333	0.034906585
15.5182	0.353248706	0.033333333	0.034906585
17.7517	0.348610494	0.033333333	0.034906585
19.9519	0.341147815	0.033333333	0.034906585
22.1855	0.335839047	0.033333333	0.034906585
24.4190	0.331844512	0.033333333	0.034906585
26.6193	0.325533925	0.033333333	0.034906585
28.8195	0.319128392	0.033333333	0.034906585
31.0530	0.313466544	0.033333333	0.034906585
33.2532	0.308517838	0.033333333	0.034906585
35.4868	0.304116641	0.033333333	0.034906585
37.6870	0.296217979	0.033333333	0.034906585
39.9206	0.288381625	0.033333333	0.034906585
42.1208	0.289049388	0.033333333	0.034906585
