t	θ	dt	dθ
0.0000	0.3587	0.0333	0.0144
15.0015	0.3190	0.0333	0.0116
29.9363	0.2698	0.0333	0.0129
44.8710	0.2284	0.0333	0.0145
59.7725	0.1917	0.0333	0.0121
74.6740	0.1587	0.0333	0.0085
90.2088	0.1285	0.0333	0.0104
105.0769	0.0982	0.0333	0.0106
119.9117	0.0804	0.0333	0.0120
134.7465	0.0596	0.0333	0.0109
150.2480	0.0483	0.0333	0.0105
165.0495	0.0314	0.0333	0.0105
179.8176	0.0228	0.0333	0.0095
195.2857	0.0170	0.0333	0.0080
210.0205	0.0113	0.0333	0.0096
224.7886	0.0096	0.0333	0.0095
240.1568	0.0056	0.0333	0.0101
254.8582	0.0048	0.0333	0.0092
270.2597	0.0030	0.0333	0.0088
284.9278	0.0019	0.0333	0.0095
