t	θ	dt	dθ
0.00000	0.372436333	0.033333333	0.080254602
40.69564	0.274128045	0.033333333	0.063343235
81.33296	0.206442344	0.033333333	0.048082163
121.93690	0.159964313	0.033333333	0.03737099
162.47420	0.127962392	0.033333333	0.028463789
202.97820	0.102014408	0.033333333	0.022296668
243.44880	0.080720605	0.033333333	0.020744809
283.98610	0.063117389	0.033333333	0.016014792
324.42340	0.054539619	0.033333333	0.015708487
364.92730	0.046574547	0.033333333	0.013673695
405.36460	0.039637125	0.033333333	0.015054337
445.80190	0.030682452	0.033333333	0.012523697
486.27250	0.027105661	0.033333333	0.012716294
526.74310	0.024953234	0.033333333	0.01517782
567.14710	0.018356937	0.033333333	0.015675413
