t	th	dt	dth
0.0000	0.392699082	0.03	0.017453293
1.3668	0.340339204	0.03	0.017453293
2.7642	0.314159265	0.03	0.017453293
4.1643	0.27925268	0.03	0.017453293
5.5311	0.253072742	0.03	0.017453293
6.9312	0.22252948	0.03	0.013089969
8.2980	0.196349541	0.03	0.013089969
9.6648	0.170169602	0.03	0.013089969
11.0650	0.143989663	0.03	0.013089969
12.4318	0.117809725	0.03	0.013089969
13.7986	0.091629786	0.03	0.013089969
15.1654	0.065449847	0.03	0.013089969
16.5322	0.039269908	0.03	0.013089969
17.8990	0.021816616	0.03	0.013089969
