t	th	dt	dth
0.0000	0.3446	0.0333	0.0252
3.0670	0.3355	0.0333	0.0258
6.1006	0.3268	0.0333	0.0261
9.1342	0.3178	0.0333	0.0253
12.1679	0.3100	0.0333	0.0255
15.1681	0.3024	0.0333	0.0260
18.2018	0.2952	0.0333	0.0242
21.2354	0.2890	0.0333	0.0246
24.2690	0.2826	0.0333	0.0235
27.3027	0.2768	0.0333	0.0232
30.3363	0.2693	0.0333	0.0241
33.3699	0.2630	0.0333	0.0228
36.3702	0.2582	0.0333	0.0240
39.4038	0.2508	0.0333	0.0219
42.4375	0.2476	0.0333	0.0224
45.4378	0.2432	0.0333	0.0217
48.4714	0.2375	0.0333	0.0217
51.5050	0.2316	0.0333	0.0218
54.5387	0.2270	0.0333	0.0218
57.5390	0.2217	0.0333	0.0218
